Year, female, male, null
1960, 0, 16, 2
1961, 0, 16, 4
1962, 0, 21, 3
1963, 0, 14, 1
1964, 0, 15, 3
1965, 0, 14, 2
1966, 0, 13, 3
1967, 0, 15, 2
1968, 0, 21, 1
1969, 0, 14, 3
1970, 0, 15, 3
1971, 0, 18, 2
1972, 0, 17, 1
1973, 0, 16, 5
1974, 0, 18, 3
1975, 0, 13, 4
1976, 0, 14, 4
1977, 0, 18, 1
1978, 0, 17, 2
1979, 0, 16, 4
1980, 0, 18, 3
1981, 0, 18, 3
1982, 0, 18, 2
1983, 0, 16, 1
1984, 0, 18, 1
1985, 0, 18, 1
1986, 0, 16, 2
1987, 0, 18, 3
1988, 0, 16, 3
1989, 0, 18, 1
1990, 0, 16, 3
1991, 0, 15, 4
1992, 0, 19, 1
1993, 0, 19, 0
1994, 0, 18, 1
1995, 0, 16, 5
1996, 0, 20, 0
1997, 0, 19, 0
1998, 1, 13, 5
1999, 1, 17, 5
2000, 0, 23, 2
2001, 0, 17, 1
2002, 0, 19, 0
2003, 1, 17, 3
2004, 0, 18, 4
2005, 0, 16, 2
2006, 0, 14, 8
2007, 1, 18, 2
2008, 1, 15, 5
2009, 0, 14, 4
2010, 0, 13, 2
2011, 1, 14, 3
2012, 0, 14, 3
2013, 0, 15, 5
2014, 0, 15, 3
2015, 0, 15, 3
2016, 0, 11, 4
2017, 0, 14, 3
2018, 1, 14, 7